Gene stable ID	Gene name	Gene type	Gene description
ENSG00000207595	MIR181A2	miRNA	microRNA 181a-2 [Source:HGNC Symbol;Acc:HGNC:31549]
ENSG00000278789	NLRP2	protein_coding	NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]
ENSG00000269433	OPN1MW3	protein_coding	opsin 1, medium wave sensitive 3 [Source:HGNC Symbol;Acc:HGNC:51831]
ENSG00000207737	MIR181B2	miRNA	microRNA 181b-2 [Source:HGNC Symbol;Acc:HGNC:31551]
ENSG00000213260	YWHAZP5	processed_pseudogene	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:30564]
ENSG00000249668	KRT18P56	processed_pseudogene	keratin 18 pseudogene 56 [Source:HGNC Symbol;Acc:HGNC:43923]
ENSG00000253079	NRON	misc_RNA	non-coding repressor of NFAT [Source:HGNC Symbol;Acc:HGNC:37079]
ENSG00000228694	MTND4P18	processed_pseudogene	MT-ND4 pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:42205]
ENSG00000252985	SNORD116	snoRNA	Small nucleolar RNA SNORD116 [Source:RFAM;Acc:RF00108]
ENSG00000225155	TOMM22P5	processed_pseudogene	TOMM22 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:38741]
ENSG00000243845	RN7SL30P	misc_RNA	RNA, 7SL, cytoplasmic 30, pseudogene [Source:HGNC Symbol;Acc:HGNC:46046]
ENSG00000249616	CCNB3P1	processed_pseudogene	cyclin B3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50851]
ENSG00000287779		transcribed_unprocessed_pseudogene	inositol 1,4,5-triphosphate receptor interacting protein (ITPRIP) pseudogene
ENSG00000263897	MIR4669	miRNA	microRNA 4669 [Source:HGNC Symbol;Acc:HGNC:41558]
ENSG00000271833		lncRNA	novel transcript
ENSG00000248891		processed_pseudogene	mago-nashi homolog B (Drosophila) (MAGOHB) pseudogene
ENSG00000177613	CSTF2T	protein_coding	cleavage stimulation factor subunit 2 tau variant [Source:HGNC Symbol;Acc:HGNC:17086]
ENSG00000201302	SNORA65	snoRNA	small nucleolar RNA, H/ACA box 65 [Source:HGNC Symbol;Acc:HGNC:10222]
ENSG00000248285		lncRNA	novel transcript, sense overlapping HTR1A
ENSG00000200788	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000287540		lncRNA	novel transcript
ENSG00000279571		lncRNA	novel transcript
ENSG00000270648	CYP2C61P	processed_pseudogene	cytochrome P450 family 2 subfamily C member 61, pseudogene [Source:HGNC Symbol;Acc:HGNC:39972]
ENSG00000224907	RPL21P91	processed_pseudogene	ribosomal protein L21 pseudogene 91 [Source:HGNC Symbol;Acc:HGNC:36450]
ENSG00000236068	NT5ELP	unitary_pseudogene	5' nucleotidase, ecto-like, pseudogene [Source:HGNC Symbol;Acc:HGNC:55194]
ENSG00000283874	MIR3911	miRNA	microRNA 3911 [Source:HGNC Symbol;Acc:HGNC:38962]
ENSG00000230809	RPS6P15	processed_pseudogene	ribosomal protein S6 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:36942]
ENSG00000160401	CFAP157	protein_coding	cilia and flagella associated protein 157 [Source:HGNC Symbol;Acc:HGNC:27843]
ENSG00000286609		lncRNA	novel transcript
ENSG00000123200	ZC3H13	protein_coding	zinc finger CCCH-type containing 13 [Source:HGNC Symbol;Acc:HGNC:20368]
ENSG00000232728	PHB2P1	processed_pseudogene	PHB2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45249]
ENSG00000251585		processed_pseudogene	ash2 (absent, small, or homeotic)-like (Drosophila) (ASH2L) pseudogene
ENSG00000237592	IGKV1OR10-1	IG_V_pseudogene	immunoglobulin kappa variable 1/OR10-1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:44978]
ENSG00000244630		processed_pseudogene	ribosomal protein S26 (RPS26) pseudogene
ENSG00000258539		protein_coding	novel transcript, METTL10-FAM53B readthrough
ENSG00000130449	ZSWIM6	protein_coding	zinc finger SWIM-type containing 6 [Source:HGNC Symbol;Acc:HGNC:29316]
ENSG00000229674	H2AL3	protein_coding	H2A.L variant histone 3 [Source:HGNC Symbol;Acc:HGNC:53960]
ENSG00000232030	MAGEB6B	protein_coding	MAGE family member B6B [Source:HGNC Symbol;Acc:HGNC:28824]
ENSG00000203837	PNLIPRP3	protein_coding	pancreatic lipase related protein 3 [Source:HGNC Symbol;Acc:HGNC:23492]
ENSG00000198021	SPANXA1	protein_coding	sperm protein associated with the nucleus, X-linked, family member A1 [Source:HGNC Symbol;Acc:HGNC:11218]
ENSG00000264966	MIR5094	miRNA	microRNA 5094 [Source:HGNC Symbol;Acc:HGNC:43519]
ENSG00000259677		processed_pseudogene	Arginine/serine-rich coiled-coil protein (RSRC2) pseudogene
ENSG00000277667	TMC4	protein_coding	transmembrane channel like 4 [Source:HGNC Symbol;Acc:HGNC:22998]
ENSG00000264796	MIR5009	miRNA	microRNA 5009 [Source:HGNC Symbol;Acc:HGNC:43458]
ENSG00000212420	RNU6-1111P	snRNA	RNA, U6 small nuclear 1111, pseudogene [Source:HGNC Symbol;Acc:HGNC:48074]
ENSG00000269437	NXF2B	protein_coding	nuclear RNA export factor 2B [Source:HGNC Symbol;Acc:HGNC:23984]
