Gene stable ID	Gene name	Gene type	Gene description
ENSG00000298994		lncRNA	novel transcript
ENSG00000300708		lncRNA	novel transcript
ENSG00000299001		lncRNA	novel transcript
ENSG00000267871	ZNF460-AS1	lncRNA	ZNF460 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53774]
ENSG00000300749		lncRNA	novel transcript
ENSG00000288453	DCAF15	protein_coding	DDB1 and CUL4 associated factor 15 [Source:HGNC Symbol;Acc:HGNC:25095]
ENSG00000299006		lncRNA	novel transcript, antisense to KCNH3
ENSG00000257913	DDN-AS1	lncRNA	DDN and PRKAG1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53464]
ENSG00000300778		lncRNA	novel transcript
ENSG00000250903	GMDS-DT	lncRNA	GMDS divergent transcript [Source:HGNC Symbol;Acc:HGNC:48993]
ENSG00000241388	HNF1A-AS1	lncRNA	HNF1A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26785]
ENSG00000287041		lncRNA	novel transcript, antisense to KIAA2012
ENSG00000227890	PSMA2P3	processed_pseudogene	proteasome subunit alpha 2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43834]
ENSG00000268713		lncRNA	novel transcript
ENSG00000224463	RPL39P14	processed_pseudogene	ribosomal protein L39 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:36609]
ENSG00000279541		TEC	TEC
ENSG00000268205	LNC-WAL	lncRNA	lncRNA Wnt/beta-catenin associated regulator [Source:HGNC Symbol;Acc:HGNC:58120]
ENSG00000212534	SNORD70	snoRNA	small nucleolar RNA, C/D box 70 [Source:HGNC Symbol;Acc:HGNC:32731]
ENSG00000268723		processed_pseudogene	PPPDE peptidase domain containing 1 pseudogene
ENSG00000212309	SNORD70B	snoRNA	small nucleolar RNA, C/D box 70B [Source:HGNC Symbol;Acc:HGNC:52233]
ENSG00000264294	SNORD55	snoRNA	small nucleolar RNA, C/D box 55 [Source:HGNC Symbol;Acc:HGNC:10205]
ENSG00000271852	SNORD11B	snoRNA	small nucleolar RNA, C/D box 11B [Source:HGNC Symbol;Acc:HGNC:33571]
ENSG00000168564	CDKN2AIP	protein_coding	CDKN2A interacting protein [Source:HGNC Symbol;Acc:HGNC:24325]
ENSG00000268678		lncRNA	novel transcript, antisense to ZNF304
ENSG00000200913	SNORD46	snoRNA	small nucleolar RNA, C/D box 46 [Source:HGNC Symbol;Acc:HGNC:10186]
ENSG00000238317	SNORD11	snoRNA	small nucleolar RNA, C/D box 11 [Source:HGNC Symbol;Acc:HGNC:32707]
ENSG00000202031	SNORD38A	snoRNA	small nucleolar RNA, C/D box 38A [Source:HGNC Symbol;Acc:HGNC:30355]
ENSG00000264275	RN7SL753P	misc_RNA	RNA, 7SL, cytoplasmic 753, pseudogene [Source:HGNC Symbol;Acc:HGNC:46769]
ENSG00000207421	SNORD38B	snoRNA	small nucleolar RNA, C/D box 38B [Source:HGNC Symbol;Acc:HGNC:30356]
ENSG00000226261	PIMREGP1	processed_pseudogene	PIMREG pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54612]
ENSG00000281859	SNORD38B	snoRNA	small nucleolar RNA, C/D box 38B [Source:HGNC Symbol;Acc:HGNC:30356]
ENSG00000131845	ZNF304	protein_coding	zinc finger protein 304 [Source:HGNC Symbol;Acc:HGNC:13505]
ENSG00000234093	RPS15AP11	processed_pseudogene	ribosomal protein S15a pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:36707]
ENSG00000272966		lncRNA	novel transcript
ENSG00000202444	RNU5E-6P	snRNA	RNA, U5E small nuclear 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:42522]
ENSG00000242696	RN7SL40P	misc_RNA	RNA, 7SL, cytoplasmic 40, pseudogene [Source:HGNC Symbol;Acc:HGNC:46056]
ENSG00000226499		processed_pseudogene	ribosomal protein S2 (RPS2) pseudogene
ENSG00000253039	RNA5SP47	rRNA_pseudogene	RNA, 5S ribosomal pseudogene 47 [Source:HGNC Symbol;Acc:HGNC:42823]
ENSG00000229815	CCNB1IP1P1	processed_pseudogene	cyclin B1 interacting protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37693]
ENSG00000011114	BTBD7	protein_coding	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]
ENSG00000232369	PPIAP35	processed_pseudogene	peptidylprolyl isomerase A pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:53659]
ENSG00000299062		lncRNA	novel transcript, antisense to WNT1
ENSG00000268949	MRPS17P1	processed_pseudogene	mitochondrial ribosomal protein S17 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29734]
ENSG00000204217	BMPR2	protein_coding	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]
ENSG00000239797	RPL21P39	processed_pseudogene	ribosomal protein L21 pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:36127]
ENSG00000234315	OSTCP5	processed_pseudogene	oligosaccharyltransferase complex subunit pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42867]
ENSG00000244358		lncRNA	novel transcript
ENSG00000288283	RFX1	protein_coding	regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]
ENSG00000229519		processed_pseudogene	ribosomal protein L34 (RPL34) pseudogene
ENSG00000240095		lncRNA	novel transcript
ENSG00000244652		processed_pseudogene	TM2 domain containing 1 (TM2D1) pseudogene
ENSG00000173662	TAS1R1	protein_coding	taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]
ENSG00000242759	LINC00882	lncRNA	long intergenic non-protein coding RNA 882 [Source:HGNC Symbol;Acc:HGNC:48568]
ENSG00000255102		lncRNA	novel transcript
ENSG00000299095		lncRNA	novel transcript
ENSG00000256060	TRAPPC2B	protein_coding	trafficking protein particle complex subunit 2B [Source:HGNC Symbol;Acc:HGNC:10710]
ENSG00000299158		lncRNA	novel transcript
ENSG00000255146		lncRNA	novel transcript
ENSG00000109586	GALNT7	protein_coding	polypeptide N-acetylgalactosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4129]
ENSG00000299164		lncRNA	novel transcript, antisense to PTPRB
ENSG00000254532	ARL14EP-DT	lncRNA	ARL14EP divergent transcript [Source:HGNC Symbol;Acc:HGNC:55517]
ENSG00000148053	NTRK2	protein_coding	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]
ENSG00000299173		lncRNA	novel transcript
ENSG00000156006	NAT2	protein_coding	N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646]
ENSG00000257114	LINC02450	lncRNA	long intergenic non-protein coding RNA 2450 [Source:HGNC Symbol;Acc:HGNC:53382]
ENSG00000268133		protein_coding	novel protein
ENSG00000254607	KIRREL3-AS4	lncRNA	KIRREL3 antisense RNA 4 [Source:HGNC Symbol;Acc:HGNC:58263]
ENSG00000188785	ZNF548	protein_coding	zinc finger protein 548 [Source:HGNC Symbol;Acc:HGNC:26561]
ENSG00000255516		lncRNA	novel transcript
ENSG00000294945		lncRNA	novel transcript
ENSG00000230735		lncRNA	novel transcript
ENSG00000255183	LINC02711	lncRNA	long intergenic non-protein coding RNA 2711 [Source:HGNC Symbol;Acc:HGNC:54228]
ENSG00000226394		processed_pseudogene	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa (NDUFA4) pseudogene
ENSG00000156471	PTDSS1	protein_coding	phosphatidylserine synthase 1 [Source:HGNC Symbol;Acc:HGNC:9587]
ENSG00000294993		lncRNA	novel transcript, antisense to PC
ENSG00000237200	ZBTB40-IT1	lncRNA	ZBTB40 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41493]
ENSG00000295041		lncRNA	novel transcript
ENSG00000246308		lncRNA	novel transcript, antisense to ZBED5
ENSG00000070886	EPHA8	protein_coding	EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]
ENSG00000299239		lncRNA	novel transcript, antisense to FMN1
ENSG00000288351		lncRNA	novel transcript, antisense to RFX1
ENSG00000212415		snoRNA	
ENSG00000259686	HNRNPA1P71	processed_pseudogene	heterogeneous nuclear ribonucleoprotein A1 pseudogene 71 [Source:HGNC Symbol;Acc:HGNC:48801]
ENSG00000288474	RLN3	protein_coding	relaxin 3 [Source:HGNC Symbol;Acc:HGNC:17135]
ENSG00000299195		lncRNA	novel transcript
ENSG00000279958		TEC	TEC
ENSG00000289831		lncRNA	novel transcript
ENSG00000309975		lncRNA	novel transcript, sense intronic to FMN1
ENSG00000295054		lncRNA	novel transcript, antisense to ARHGAP1
ENSG00000215296	TMCO5B	transcribed_unitary_pseudogene	transmembrane and coiled-coil domains 5B (pseudogene) [Source:HGNC Symbol;Acc:HGNC:34243]
ENSG00000299236		lncRNA	novel transcript
ENSG00000254946	LINC02751	lncRNA	long intergenic non-protein coding RNA 2751 [Source:HGNC Symbol;Acc:HGNC:54271]
ENSG00000259446	RYR3-DT	lncRNA	RYR3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:51417]
ENSG00000299244		lncRNA	novel transcript
ENSG00000288441		lncRNA	novel transcript, antisense to RLN3
ENSG00000288185	IL27RA	protein_coding	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]
ENSG00000278916	CEP83-DT	lncRNA	CEP83 divergent transcript [Source:HGNC Symbol;Acc:HGNC:27055]
ENSG00000289490		protein_coding	novel protein
ENSG00000299252		lncRNA	novel transcript
ENSG00000270915	H3P8	processed_pseudogene	H3 histone pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:54449]
ENSG00000215039	CD27-AS1	lncRNA	CD27 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43896]
ENSG00000236047	RPL13AP12	processed_pseudogene	ribosomal protein L13a pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:35673]
ENSG00000290335		lncRNA	novel transcript
ENSG00000223619	MTCO1P17	unprocessed_pseudogene	MT-CO1 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:52019]
ENSG00000237344	PBX2	protein_coding	PBX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8633]
ENSG00000233888	MTCO2P17	unprocessed_pseudogene	MT-CO2 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:52033]
ENSG00000305977		lncRNA	novel transcript
ENSG00000170509	HSD17B13	protein_coding	hydroxysteroid 17-beta dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:18685]
ENSG00000235433	MTATP6P17	unprocessed_pseudogene	MT-ATP6 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:52062]
ENSG00000276172	ELMO2P1	transcribed_unprocessed_pseudogene	engulfment and cell motility 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38008]
ENSG00000276835	MIR6127	miRNA	microRNA 6127 [Source:HGNC Symbol;Acc:HGNC:50163]
ENSG00000265422	MIR4684	miRNA	microRNA 4684 [Source:HGNC Symbol;Acc:HGNC:41695]
ENSG00000223776	LGALS8-AS1	lncRNA	LGALS8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40340]
ENSG00000270099		protein_coding	novel transcript
ENSG00000269533		protein_coding	novel transcript
ENSG00000273058		lncRNA	novel transcript
ENSG00000230325		lncRNA	novel transcript
ENSG00000237542	MTCO3P17	unprocessed_pseudogene	MT-CO3 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:52047]
ENSG00000226498	RPSAP21	processed_pseudogene	ribosomal protein SA pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:36928]
ENSG00000188649	CC2D2B	protein_coding	coiled-coil and C2 domain containing 2B [Source:HGNC Symbol;Acc:HGNC:31666]
ENSG00000237991	RPL35P1	processed_pseudogene	ribosomal protein L35 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:36695]
ENSG00000233134	MTND3P17	unprocessed_pseudogene	MT-ND3 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:52077]
ENSG00000244020	MT1HL1	protein_coding	metallothionein 1H like 1 [Source:HGNC Symbol;Acc:HGNC:31864]
ENSG00000273976	GOLGA6L1	protein_coding	golgin A6 family like 1 [Source:HGNC Symbol;Acc:HGNC:37444]
ENSG00000309303		lncRNA	novel transcript, antisense to CNTD2
ENSG00000288318	PALM3	protein_coding	paralemmin 3 [Source:HGNC Symbol;Acc:HGNC:33274]
ENSG00000241221	MTND4LP17	unprocessed_pseudogene	MT-ND4L pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:42251]
ENSG00000248131	LINC01194	lncRNA	long intergenic non-protein coding RNA 1194 [Source:HGNC Symbol;Acc:HGNC:37171]
ENSG00000288099		lncRNA	novel transcript
ENSG00000100342	APOL1	protein_coding	apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]
ENSG00000308179		lncRNA	novel transcript, antisense to AKT2
ENSG00000225886		lncRNA	novel transcript, antisense to IFI6
ENSG00000268366	SERTAD3-AS1	lncRNA	SERTAD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55281]
ENSG00000227454	MTND4P30	unprocessed_pseudogene	MT-ND4 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:42217]
ENSG00000298987		lncRNA	novel transcript, sense intronic to SPTBN4
ENSG00000140067	FAM181A	protein_coding	family with sequence similarity 181 member A [Source:HGNC Symbol;Acc:HGNC:20491]
ENSG00000301397		lncRNA	novel transcript, antisense to SPTBN4
ENSG00000233311	MTCO1P54	processed_pseudogene	MT-CO1 pseudogene 54 [Source:HGNC Symbol;Acc:HGNC:52119]
ENSG00000254645		lncRNA	novel transcript
ENSG00000268204		lncRNA	novel transcript, antisense to STXBP2
ENSG00000290088		lncRNA	novel transcript
ENSG00000206767	RNU6-949P	snRNA	RNA, U6 small nuclear 949, pseudogene [Source:HGNC Symbol;Acc:HGNC:47912]
ENSG00000277505	MPHOSPH10P5	unprocessed_pseudogene	MPHOSPH10 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:55691]
ENSG00000226662	CHMP1AP1	processed_pseudogene	charged multivesicular body protein 1A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39514]
ENSG00000138439	FAM117B	protein_coding	family with sequence similarity 117 member B [Source:HGNC Symbol;Acc:HGNC:14440]
ENSG00000207095	RNU6-424P	snRNA	RNA, U6 small nuclear 424, pseudogene [Source:HGNC Symbol;Acc:HGNC:47387]
ENSG00000290359	GOLGA8DP	lncRNA	golgin A8 family member D, pseudogene [Source:HGNC Symbol;Acc:HGNC:32376]
ENSG00000231344		processed_pseudogene	novel pseudogene
ENSG00000230833	RPEP3	processed_pseudogene	ribulose-5-phosphate-3-epimerase pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44522]
ENSG00000269971		lncRNA	novel transcript, sense intronic to STX12
ENSG00000270031		lncRNA	novel transcript, sense intronic to STX12
ENSG00000223062	RNU6-1245P	snRNA	RNA, U6 small nuclear 1245, pseudogene [Source:HGNC Symbol;Acc:HGNC:48208]
ENSG00000224641	HCG20	lncRNA	HLA complex group 20 [Source:HGNC Symbol;Acc:HGNC:31334]
ENSG00000286433		lncRNA	novel transcript, antisense to PPP1R8
ENSG00000288278	EEF1DP1	processed_pseudogene	eukaryotic translation elongation factor 1 delta pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32474]
ENSG00000309191		lncRNA	novel transcript
ENSG00000252947	SCARNA1	scaRNA	small Cajal body-specific RNA 1 [Source:HGNC Symbol;Acc:HGNC:32555]
ENSG00000309195		lncRNA	novel transcript
ENSG00000288191	MISP3	protein_coding	MISP family member 3 [Source:HGNC Symbol;Acc:HGNC:26963]
ENSG00000223643		lncRNA	novel transcript
ENSG00000309199		lncRNA	novel transcript
ENSG00000235773	NRM	protein_coding	nurim [Source:HGNC Symbol;Acc:HGNC:8003]
ENSG00000309201		lncRNA	novel transcript
ENSG00000175676	GOLGA8DP	transcribed_unprocessed_pseudogene	golgin A8 family member D, pseudogene [Source:HGNC Symbol;Acc:HGNC:32376]
ENSG00000230239	PDE4DIPP9	unprocessed_pseudogene	PDE4DIP pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:55100]
ENSG00000309222		lncRNA	novel transcript
ENSG00000254789		lncRNA	novel transcript
ENSG00000263811	MIR3675	miRNA	microRNA 3675 [Source:HGNC Symbol;Acc:HGNC:38973]
ENSG00000273981	RN7SL106P	misc_RNA	RNA, 7SL, cytoplasmic 106, pseudogene [Source:HGNC Symbol;Acc:HGNC:46122]
ENSG00000277234	RNU1-5P	snRNA	RNA, U1 small nuclear 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:48304]
ENSG00000274099	ABCB10P1	processed_pseudogene	ABCB10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:14114]
ENSG00000235241		processed_pseudogene	cyclin-dependent kinase 5 (CDK5) pseudogene
ENSG00000309223		lncRNA	novel transcript
ENSG00000207005	RNU1-2	snRNA	RNA, U1 small nuclear 2 [Source:HGNC Symbol;Acc:HGNC:10123]
ENSG00000278541		processed_pseudogene	family with sequence similarity 208, member A (FAM208A) pseudogene
ENSG00000276941	MIR4509-1	miRNA	microRNA 4509-1 [Source:HGNC Symbol;Acc:HGNC:41860]
ENSG00000278552		transcribed_unprocessed_pseudogene	abhydrolase domain containing 17A (ABHD17A) pseudogene
ENSG00000248118	LINC01019	lncRNA	long intergenic non-protein coding RNA 1019 [Source:HGNC Symbol;Acc:HGNC:27742]
ENSG00000310417		lncRNA	novel transcript
ENSG00000238018	SPTBN1-AS2	lncRNA	SPTBN1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40563]
ENSG00000159363	ATP13A2	protein_coding	ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213]
ENSG00000288366	MIR1199	miRNA	microRNA 1199 [Source:HGNC Symbol;Acc:HGNC:50081]
ENSG00000165527	ARF6	protein_coding	ARF GTPase 6 [Source:HGNC Symbol;Acc:HGNC:659]
ENSG00000285519		lncRNA	Novel transcript, antisense to EML6
ENSG00000288239	C19orf67	protein_coding	chromosome 19 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:34354]
ENSG00000295105		lncRNA	novel transcript
ENSG00000289232		lncRNA	novel transcript
ENSG00000252507	RNU7-81P	snRNA	RNA, U7 small nuclear 81 pseudogene [Source:HGNC Symbol;Acc:HGNC:34177]
ENSG00000291027	UBE2Q2P1	lncRNA	UBE2Q2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37439]
ENSG00000259080		lncRNA	novel transcript
ENSG00000299174		lncRNA	novel transcript, sense intronic to LRRC4B
ENSG00000298650		lncRNA	novel transcript, antisense to SYT3
ENSG00000288967		lncRNA	novel transcript
ENSG00000295117		lncRNA	novel transcript
ENSG00000249830	LINC02162	lncRNA	long intergenic non-protein coding RNA 2162 [Source:HGNC Symbol;Acc:HGNC:53023]
ENSG00000206731		snoRNA	
ENSG00000232119	MCTS1	protein_coding	MCTS1 re-initiation and release factor [Source:HGNC Symbol;Acc:HGNC:23357]
ENSG00000231747		processed_pseudogene	ribosomal protein S20 (RPS20) pseudogene
ENSG00000275961	RN7SL210P	misc_RNA	RNA, 7SL, cytoplasmic 210, pseudogene [Source:HGNC Symbol;Acc:HGNC:46226]
ENSG00000295126		lncRNA	novel transcript
ENSG00000274286	ADRA2B	protein_coding	adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]
ENSG00000295141		lncRNA	novel transcript
ENSG00000200610	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000288557		lncRNA	novel transcript
ENSG00000291108	SEPTIN7P11	lncRNA	septin 7 pseudogene 11 [Source:NCBI gene (formerly Entrezgene);Acc:441601]
ENSG00000309248		lncRNA	novel transcript
ENSG00000200361	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000305066		lncRNA	novel transcript
ENSG00000252473		snoRNA	
ENSG00000239997	FCF1P3	processed_pseudogene	FCF1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44615]
ENSG00000309259		lncRNA	novel transcript
ENSG00000273035		lncRNA	novel transcript, sense intronic to MAP4K3
ENSG00000234616	JRK	protein_coding	Jrk helix-turn-helix protein [Source:HGNC Symbol;Acc:HGNC:6199]
ENSG00000288516	PRKACA	protein_coding	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]
ENSG00000241787	MTND4P16	unprocessed_pseudogene	MT-ND4 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:42203]
ENSG00000309261		lncRNA	novel transcript, antisense to ARHGEF28
ENSG00000184945	AQP12A	protein_coding	aquaporin 12A [Source:HGNC Symbol;Acc:HGNC:19941]
ENSG00000239632	MTND4LP3	unprocessed_pseudogene	MT-ND4L pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:42265]
ENSG00000227805	RPL21P90	processed_pseudogene	ribosomal protein L21 pseudogene 90 [Source:HGNC Symbol;Acc:HGNC:35548]
ENSG00000304388		lncRNA	novel transcript
ENSG00000223548	ACSL6-AS1	lncRNA	ACSL6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40772]
ENSG00000242214	MTND3P6	unprocessed_pseudogene	MT-ND3 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:42146]
ENSG00000249967		protein_coding	novel protein
ENSG00000242836	MTCO3P35	unprocessed_pseudogene	MT-CO3 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:52138]
ENSG00000142513	ACP4	protein_coding	acid phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:14376]
ENSG00000309271		lncRNA	novel transcript
ENSG00000249580	MTATP6P22	unprocessed_pseudogene	MT-ATP6 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:52178]
ENSG00000309295		lncRNA	novel transcript
ENSG00000257835		lncRNA	novel transcript
ENSG00000243658	MTND5P16	unprocessed_pseudogene	MT-ND5 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:42278]
ENSG00000152953	STK32B	protein_coding	serine/threonine kinase 32B [Source:HGNC Symbol;Acc:HGNC:14217]
ENSG00000249808	LINC01377	lncRNA	long intergenic non-protein coding RNA 1377 [Source:HGNC Symbol;Acc:HGNC:50642]
ENSG00000240034	MTND6P6	unprocessed_pseudogene	MT-ND6 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:39469]
ENSG00000299304		lncRNA	novel transcript
ENSG00000230949	ZNF70P1	processed_pseudogene	zinc finger protein 70 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:13846]
ENSG00000250630	MTCO1P35	unprocessed_pseudogene	MT-CO1 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:52100]
ENSG00000203942	C10orf62	protein_coding	chromosome 10 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:23294]
ENSG00000243067	PSMB9	protein_coding	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]
ENSG00000239586	MTND1P16	unprocessed_pseudogene	MT-ND1 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:42065]
ENSG00000309332		lncRNA	novel transcript, sense intronic to ADAMTS2
ENSG00000203485	INF2	protein_coding	inverted formin 2 [Source:HGNC Symbol;Acc:HGNC:23791]
ENSG00000299319		lncRNA	novel transcript
ENSG00000309369		lncRNA	novel transcript
ENSG00000240796	MTND2P14	unprocessed_pseudogene	MT-ND2 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:42115]
ENSG00000155254	MARVELD1	protein_coding	MARVEL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28674]
ENSG00000299341		lncRNA	novel transcript, antisense to RP11-579D7.1
ENSG00000309402		lncRNA	novel transcript, antisense to GEMIN5
ENSG00000252626	RNU6-1308P	snRNA	RNA, U6 small nuclear 1308, pseudogene [Source:HGNC Symbol;Acc:HGNC:48271]
ENSG00000286956		lncRNA	novel transcript
ENSG00000258066		lncRNA	novel transcript
ENSG00000248489	CHD1-DT	lncRNA	CHD1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:52907]
ENSG00000239455	PTPN11P1	processed_pseudogene	PTPN11 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56465]
ENSG00000241218	CSP2	processed_pseudogene	CS pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54779]
ENSG00000272597		lncRNA	novel transcript
ENSG00000138483	CCDC54	protein_coding	coiled-coil domain containing 54 [Source:HGNC Symbol;Acc:HGNC:30703]
ENSG00000268375		lncRNA	novel transcript, antisense to ACPT
ENSG00000259862		lncRNA	novel transcript
ENSG00000163092	XIRP2	protein_coding	xin actin binding repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14303]
ENSG00000293495	C19orf48P	lncRNA	multidrug resistance-related protein [Source:NCBI gene (formerly Entrezgene);Acc:84798]
ENSG00000120057	SFRP5	protein_coding	secreted frizzled related protein 5 [Source:HGNC Symbol;Acc:HGNC:10779]
ENSG00000299418		lncRNA	novel transcript, sense intronic to GALNT6
ENSG00000256259	LINC02425	lncRNA	long intergenic non-protein coding RNA 2425 [Source:HGNC Symbol;Acc:HGNC:53356]
ENSG00000114279	FGF12	protein_coding	fibroblast growth factor 12 [Source:HGNC Symbol;Acc:HGNC:3668]
ENSG00000299468		lncRNA	novel transcript, antisense to MED13L
ENSG00000188937	NYX	protein_coding	nyctalopin [Source:HGNC Symbol;Acc:HGNC:8082]
ENSG00000227356	GOLGA7B-DT	lncRNA	GOLGA7B divergent transcript [Source:HGNC Symbol;Acc:HGNC:45232]
ENSG00000299479		lncRNA	novel transcript
ENSG00000300795		lncRNA	novel transcript
ENSG00000299515		lncRNA	novel transcript, antisense to CEP290
ENSG00000309416		lncRNA	novel transcript
ENSG00000299528		lncRNA	novel transcript
ENSG00000300801		lncRNA	novel transcript
ENSG00000299529		lncRNA	novel transcript
ENSG00000100417	PMM1	protein_coding	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]
ENSG00000309430		lncRNA	novel transcript
ENSG00000197503	LINC00477	lncRNA	long intergenic non-protein coding RNA 477 [Source:HGNC Symbol;Acc:HGNC:26557]
ENSG00000300810		lncRNA	novel transcript
ENSG00000309437		lncRNA	novel transcript, antisense to KIAA0825
ENSG00000172466	ZNF24	protein_coding	zinc finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13032]
ENSG00000300811		lncRNA	novel transcript, antisense to SYNE1
ENSG00000309445		lncRNA	novel transcript
ENSG00000299602		lncRNA	novel transcript, antisense to PPM1H
ENSG00000288569	LINC01949	lncRNA	long intergenic non-protein coding RNA 1949 [Source:HGNC Symbol;Acc:HGNC:25650]
ENSG00000213397	HAUS7	protein_coding	HAUS augmin like complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:32979]
ENSG00000299604		lncRNA	novel transcript
ENSG00000300829		lncRNA	novel transcript
ENSG00000299616		lncRNA	novel transcript
ENSG00000254093	PINX1	protein_coding	PIN2 (TERF1) interacting telomerase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30046]
ENSG00000286566		lncRNA	novel transcript
ENSG00000271727		lncRNA	novel transcript
ENSG00000278752		misc_RNA	
ENSG00000235742		processed_pseudogene	novel pseudogene
ENSG00000299624		lncRNA	novel transcript
ENSG00000250697		lncRNA	novel transcript
ENSG00000148704	VAX1	protein_coding	ventral anterior homeobox 1 [Source:HGNC Symbol;Acc:HGNC:12660]
ENSG00000286866		lncRNA	novel transcript
ENSG00000299684		lncRNA	novel transcript
ENSG00000299726		lncRNA	novel transcript, antisense to GRIN2B
ENSG00000236766	MDC1-AS1	lncRNA	MDC1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39764]
ENSG00000288496		lncRNA	novel transcript, antisense to ASF1B
