gene,gene_symbol,gene_biotype,gene_description,log2FoldChange,pvalue,padj
ENSG00000282914.1,ENSG00000282914,lncRNA,novel transcript,0.9472384436776352,0.2359177093440237,0.287904467020332
ENSG00000282915.1,ENSG00000282915,lncRNA,"novel transcript, sense-intronic to MICU1",1.9826630029954972,8.824014216005172e-09,2.5198544083666874e-08
ENSG00000282916.2,LINC02746,lncRNA,long intergenic non-protein coding RNA 2746 [Source:HGNC Symbol;Acc:HGNC:54264],2.277546177585322,9.198867610431048e-05,0.0001819040470629
ENSG00000282917.2,ENSG00000282917,lncRNA,"novel transcript, antisense to CORIN and NFXL1",0.8382268649817296,0.0038877766559532,0.0063715379037558
ENSG00000282921.1,CFTRP2,processed_pseudogene,CFTR pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:51351],0.6675831979820459,0.4624703979800871,0.5181658740460319
ENSG00000282924.1,ENSG00000282924,transcribed_unprocessed_pseudogene,ankyrin repeat domain 36 (ANKRD36) pseudogene,-1.1857311818046123,0.1401434476777141,0.1805753864530963
ENSG00000282925.1,ENSG00000282925,lncRNA,novel transcript,2.3588872283203597,3.6423132115298966e-06,8.317350180433223e-06
ENSG00000282927.1,ENSG00000282927,processed_pseudogene,kinase suppressor of ras 1 (KSR1) pseudogene,,,
ENSG00000282933.2,RHOXF1P3,protein_coding,Rhox homeobox family member 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:51612],1.0515900472397823,2.9834153467236126e-09,8.861453916756446e-09
ENSG00000282935.1,DUX4L34,unprocessed_pseudogene,double homeobox 4 like 34 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:51772],0.3428256283219192,0.352709192957111,0.4105299506625227
ENSG00000282936.2,ENSG00000282936,protein_coding,novel protein,0.3590481634290567,0.001881116314507,0.0032040176330718
ENSG00000282939.1,TRBV7-2,TR_V_gene,T cell receptor beta variable 7-2 [Source:HGNC Symbol;Acc:HGNC:12236],1.6087369584673747,2.284350199658942e-19,1.3351575398299405e-18
ENSG00000282943.1,PSG11-AS1,lncRNA,"PSG11, PSG2 and PSG5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56358]",2.5117117994522653,0.0003244465929008,0.0006043585793957
ENSG00000282944.1,CYP4F30P,lncRNA,"cytochrome P450 family 4 subfamily F member 30, pseudogene [Source:HGNC Symbol;Acc:HGNC:25270]",0.1208702571160381,0.9785909283451308,
ENSG00000282946.1,ENSG00000282946,processed_pseudogene,double homeobox 4 (DUX4) pseudogene,0.4219254903626818,0.7150409593205183,0.7480524593861128
ENSG00000282949.1,PCMTD1P7,unprocessed_pseudogene,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:51751],0.2253835430424221,0.7015510368504265,0.7359472834034069
ENSG00000282950.1,ENSG00000282950,lncRNA,novel transcript,0.461828266605293,0.6162453963959142,
ENSG00000282951.1,ENSG00000282951,lncRNA,"novel transcript, antisense to RAB4B",2.2118332566447716,4.3618046347899215e-34,5.4328624343467595e-33
ENSG00000282952.1,ENSG00000282952,lncRNA,novel transcript,1.2471146551343069,0.0510810398118291,0.0714260816470377
ENSG00000282961.1,PRNCR1,lncRNA,prostate cancer associated non-coding RNA 1 [Source:HGNC Symbol;Acc:HGNC:48942],1.5260266080608516,1.6701760291299375e-11,5.88251691048015e-11
ENSG00000282964.1,ENSG00000282964,lncRNA,"novel transcript, sense intronic to PAH",0.3794185409194494,0.7669187544550399,
ENSG00000282965.1,ENSG00000282965,,,0.1236621921246961,0.7120813705344979,0.7454609142263727
ENSG00000282968.1,AGGF1P10,processed_pseudogene,angiogenic factor with G-patch and FHA domains 1 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:51747],2.0155443514863873,6.2655048044307955e-06,1.3967273588880489e-05
ENSG00000282973.1,ENSG00000282973,processed_pseudogene,double homeobox protein (DUX) pseudogene,,,
ENSG00000282975.1,LINC02034,lncRNA,long intergenic non-protein coding RNA 2034 [Source:HGNC Symbol;Acc:HGNC:52868],0.5667309166265858,0.2963070001541806,0.3526268982531953
ENSG00000282977.1,PCBP2-OT1,lncRNA,PCBP2 overlapping transcript 1 [Source:HGNC Symbol;Acc:HGNC:49150],2.351668815781608,1.6600656544452712e-23,1.219053103481282e-22
ENSG00000282978.1,BTF3P16,processed_pseudogene,basic transcription factor 3 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:38568],1.0390036177994153,1.7468434167250795e-10,5.719025904510539e-10
ENSG00000282980.1,ENSG00000282980,processed_pseudogene,"zinc finger, CCHC domain containing 9 (ZCCHC9) pseudogene",2.148227935099735,8.345167342350381e-19,4.7231438606799704e-18
ENSG00000282987.1,ENSG00000282987,lncRNA,novel transcript,1.000285720569942,0.0645868509293914,0.0886752602941035
ENSG00000282988.2,ENSG00000282988,protein_coding,novel protein,0.9656499931205444,4.39783499285467e-07,1.0913483604315691e-06
ENSG00000282989.1,PDCL3P2,processed_pseudogene,PDCL3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31705],1.1064081040459994,0.0099976529908311,0.0155359771911887
ENSG00000282993.1,ENSG00000282993,TEC,TEC,1.121887032836693,0.0444087349459935,0.062752014361018
ENSG00000282994.1,ENSG00000282994,transcribed_processed_pseudogene,"major histocompatibility complex, class I, F (HLA-F) pseudogene",,,
ENSG00000282995.1,FRG1EP,transcribed_unprocessed_pseudogene,"FSHD region gene 1 family member E, pseudogene [Source:HGNC Symbol;Acc:HGNC:51764]",0.0358708297939735,0.811033687905769,0.8336750377752068
ENSG00000282996.1,MPP7-DT,lncRNA,MPP7 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54139],-3.768028196297263,1.6492171153291812e-37,2.410131076654335e-36
ENSG00000282997.1,ENSG00000282997,lncRNA,novel transcript,0.8091464238259364,0.169505986488197,0.2142597175769325
ENSG00000282998.1,ENSG00000282998,lncRNA,novel transcript,0.8051932744007584,0.0866550589144099,0.1161836027382769
ENSG00000283000.2,LINC02635,lncRNA,long intergenic non-protein coding RNA 2635 [Source:HGNC Symbol;Acc:HGNC:54118],-2.5686912060822715,1.0198337169104286e-06,2.4476009205850283e-06
ENSG00000283001.2,ENSG00000283001,lncRNA,"novel transcript, antisense to OR13C3",0.5286084716796731,0.5949306540609369,0.6401756967218442
ENSG00000283003.2,ENSG00000283003,,,1.1073394620116368,0.0090425635586076,0.0141417180213358
ENSG00000283005.1,CDC27P3,processed_pseudogene,cell division cycle 27 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:51754],0.1579247984224343,0.66218596707436,0.7009934713765169
ENSG00000283010.1,ENSG00000283010,lncRNA,novel transcript,2.0115924294563263,1.5703636740041426e-06,3.708854776881844e-06
ENSG00000283016.1,ATP5MC1P2,processed_pseudogene,ATP synthase membrane subunit c locus 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:19817],-0.0405895478987542,0.8486511435791231,0.866910851519657
ENSG00000283020.1,DUX4L37,unprocessed_pseudogene,double homeobox 4 like 37 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:51775],0.8191393285946539,0.0011662916328143,0.0020364510434969
ENSG00000283023.1,FRG1GP,transcribed_unprocessed_pseudogene,"FSHD region gene 1 family member G, pseudogene [Source:HGNC Symbol;Acc:HGNC:51766]",0.3568900499332207,0.0111510108727679,0.017214561185731
ENSG00000283025.1,ENSG00000283025,lncRNA,"novel transcript, antisense to novel protein",4.68776667832034,2.7255893676405722e-14,1.1624522174808937e-13
ENSG00000283031.2,ENSG00000283031,lncRNA,novel transcript,3.196387026616125,5.547914538327795e-47,1.2085825286223497e-45
ENSG00000283033.1,ENSG00000283033,lncRNA,novel transcript,-0.1251597378219658,0.6626069594660241,0.7013306477443253
ENSG00000283036.3,LINC01988,lncRNA,long intergenic non-protein coding RNA 1988 [Source:HGNC Symbol;Acc:HGNC:52820],0.2414688363619859,0.3151485235391074,0.3720464453251829
ENSG00000283039.1,KLF18,protein_coding,KLF transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:51793],0.5660238381263117,0.5320539670926256,
ENSG00000283040.1,ENSG00000283040,transcribed_unprocessed_pseudogene,"FAM166A, pseudogene P3",0.2058697908101035,0.8003564152915789,0.8239195796219494
ENSG00000283041.1,ENSG00000283041,processed_pseudogene,eukaryotic translation elongation factor 1 gamma (,0.0959559364596786,0.3740503295993355,0.4319481953842916
ENSG00000283043.1,ENSG00000283043,processed_pseudogene,"ribosomal protein, large, P1 (RPLP1) pseudogene",0.1875712220803362,0.9578316016503892,
ENSG00000283044.1,ENSG00000283044,lncRNA,novel transcript,0.8402241636790033,0.2125042961014226,0.262291767809192
ENSG00000283045.1,ENSG00000283045,lncRNA,"novel transcript, sense intronic to GPATCH8",2.3475769453166353,3.0389277626744564e-13,1.2056049320344278e-12
ENSG00000283047.1,FRG1FP,transcribed_unprocessed_pseudogene,"FSHD region gene 1 family member F, pseudogene [Source:HGNC Symbol;Acc:HGNC:51765]",0.1726275518820147,0.3518885876967185,0.4096743603427614
ENSG00000283050.2,GTF2IP12,transcribed_unprocessed_pseudogene,general transcription factor IIi pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:51723],0.5759841693803796,3.743155888789987e-09,1.1033914201993448e-08
ENSG00000283051.1,LINC01668,lncRNA,long intergenic non-protein coding RNA 1668 [Source:HGNC Symbol;Acc:HGNC:52456],-0.7835353859040656,8.536189006796038e-06,1.877232696054526e-05
ENSG00000283052.1,LINC02456,lncRNA,long intergenic non-protein coding RNA 2456 [Source:HGNC Symbol;Acc:HGNC:53389],1.9734529675699797,0.0002985793102704,0.0005582150130427
ENSG00000283053.1,ENSG00000283053,lncRNA,novel transcript,0.2486811789104227,0.8850257092531748,
ENSG00000283057.1,ENSG00000283057,processed_pseudogene,parathymosin (PTMS) pseudogene,1.6147103384042871,4.0008813369712e-10,1.274153833042603e-09
ENSG00000283058.1,ENSG00000283058,lncRNA,"novel transcript, antisense to NRXN1",0.2700137983851597,0.8791768428405358,
ENSG00000283061.1,ENSG00000283061,lncRNA,novel transcript,0.3073461308616367,0.8355946382866927,
ENSG00000283063.1,TRBV6-2,TR_V_gene,T cell receptor beta variable 6-2 [Source:HGNC Symbol;Acc:HGNC:12227],2.941640547211003,7.19822623352079e-33,8.439153927816445e-32
ENSG00000283064.1,H2BC6-AS1,lncRNA,H2BC6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56682],0.4006635193038194,0.0008415620893599,0.0014938635355369
ENSG00000283065.1,ENSG00000283065,processed_pseudogene,kinase suppressor of ras 1 (KSR1) pseudogene,0.2248429324448561,0.9320600538928298,
ENSG00000283069.1,DUX4L32,unprocessed_pseudogene,double homeobox 4 like 32 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:51771],2.877870195680414,4.2242676530541413e-10,1.342706639585333e-09
